YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
1997,28,130000,3000,OfferUp
2005,20,173000,4000,Offerup
2008,17,116000,9000,Offerup
2018,7,27000,23999,Offerup
2016,9,24524,20222,CarGurus
2013,12,79691,15991,CarGurus
2017,8,61414,20555,CarGurus
2006,19,37304,13043,CarGurus
2000,25,57252,10425,CarGurus
2009,16,65000,10000,Facebook Market Place
2016,9,84000,14500,Facebook Market Place
2000,25,90000,6500,Facebook Market Place
1990,35,265000,4500,Facebook Market Place
2008,17,94000,7000,Facebook Market Place
