YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
1997,28,"130,000","3,000",OfferUp
2005,20,"173,000","4,000",Offerup
2008,17,"116,000","9,000",Offerup
2018,7,"27,000","23,999",Offerup
2016,9,"24,524","20,222",CarGurus
2013,12,"79,691","15,991",CarGurus
2017,8,"61,414","20,555",CarGurus
2006,19,"37,304","13,043",CarGurus
2000,25,"57,252","10,425",CarGurus
2009,16,"65,000","10,000",Facebook Market Place
2016,9,"84,000","14,500",Facebook Market Place
2000,25,"90,000","6,500",Facebook Market Place
1990,35,"265,000","4,500",Facebook Market Place
2008,17,"94,000","7,000",Facebook Market Place
