Date,Close/Last,Volume,Open,High,Low,Day
01/24/2025,33.27,31728440,34,34.7,33.06,0
01/27/2025,29.07,59858800,30.31,31.95,28.42,1
01/28/2025,28.18,35715340,29.44,29.7,27.22,2
01/29/2025,27.8,25802730,28.32,28.51,27.61,3
01/30/2025,28.64,22577140,28.58,28.81,27.81,4
01/31/2025,28.52,38101300,28.7,30.76,28.34,5
02/03/2025,26.85,44755530,27.2,27.61,25.71,6
02/04/2025,29.16,35954610,27.82,29.45,27.35,7
02/05/2025,31.49,83155320,31.03,33.13,29.75,8
02/06/2025,33.84,66262370,31.97,34.45,31.85,9
02/07/2025,36.28,72679920,34.55,36.96,34.33,10
02/10/2025,42.65,134627800,38,42.88,37.36,11
02/11/2025,38.61,153179100,40.59,42.39,38.42,12
02/12/2025,39.68,161454200,42.3,43.89,38.86,13
02/13/2025,42.28,110368100,39.01,43.29,37.5,14
02/14/2025,47.91,133562000,42.94,48.18,42.85,15
02/18/2025,55.8,163200100,51,56.23,50.99,16
02/19/2025,60.25,337992700,59.04,66.44,55.61,17
02/20/2025,59.27,181555200,57.21,62.47,54.3,18
02/21/2025,56.07,104690400,61,62.43,55.07,19
02/24/2025,51.61,84122580,53.88,56.25,50.26,20
